TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20,93;;-44,84;2,16;0,96;31,96;4,48;-4,98;49,80;61,23;11,44;0,50;2,23;-26,64;-1,17;0,83;-4,82;-2,15;1,10;0,45;0,54;0,43;3,62;;7.421.646,44;9,68;-0,47;0,16;2.475.868.638,88
ABCB4;21,44;5,97;7,17;0,99;0,10;21,90;12,88;11,98;6,66;6,66;;;0,86;9,54;-0,10;1,25;13,77;1,33;;0,10;0,90;0,11;7,15;11,54;18.587.312,93;21,72;2,99;0,13;4.847.372.129,92
ABEV3;15,20;3,97;17,68;2,78;1,75;49,91;22,47;17,60;13,85;13,10;-0,72;-0,14;3,11;55,15;-2,43;1,13;15,70;9,91;18,74;0,63;0,36;0,56;9,82;1,54;432.989.439,30;5,48;0,86;-2,50;238.930.789.629,67
AERI3;2,04;1,01;31.567,99;1,63;0,47;11,54;8,64;0,00;7,59;11,42;3,83;0,82;0,66;1,20;-1,38;2,49;0,01;0,00;7,87;0,29;0,71;0,72;;;9.038.776,04;1,26;0,00;-315,82;1.578.399.719,36
AESB3;9,54;1,13;12,09;1,74;0,40;23,57;15,63;18,74;14,50;25,94;11,45;1,38;2,27;2,25;-0,56;2,75;14,43;3,33;-1,42;0,23;0,68;0,18;;;24.894.994,59;5,47;0,79;;5.711.654.677,14
AGRO3;32,39;14,38;6,35;1,49;0,99;40,44;35,97;27,11;4,78;5,03;0,25;0,08;1,72;2,99;-1,88;3,28;23,47;15,55;19,63;0,66;0,34;0,57;59,78;80,28;16.927.146,85;21,65;5,08;0,10;3.301.658.508,00
AGXY3;7,59;2,21;-67,84;1,03;0,17;12,08;4,22;-0,20;3,25;6,53;3,29;1,05;0,14;6,95;-0,83;1,03;-1,52;-0,24;13,07;0,16;0,84;1,21;;;599.188,63;7,35;-0,11;0,84;1.296.561.666,51
ALLD3;8,11;10,71;5,56;0,50;0,18;13,66;4,26;2,38;3,10;4,46;1,36;0,22;0,13;0,68;-0,63;1,59;9,04;3,24;9,68;0,36;0,64;1,36;;;744.538,81;16,15;1,46;-0,09;756.018.920,02
ALPA4;22,79;1,91;28,43;2,72;2,04;47,38;10,98;13,90;35,97;32,63;-0,11;-0,01;3,95;11,38;-3,37;1,83;9,55;7,18;6,40;0,75;0,25;0,52;-0,53;8,66;72.756.553,00;8,39;0,80;0,34;14.168.204.000,70
ALSO3;21,00;1,83;21,82;0,83;0,49;70,10;52,84;24,36;10,06;7,38;-2,67;-0,22;5,31;4,47;-0,60;2,52;3,81;2,26;6,43;0,59;0,31;0,09;22,33;21,57;42.462.686,15;25,24;0,96;0,22;5.573.255.154,66
