,TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO,formula-gharant,margem-seguranca
136,PCAR3,16.71,2.12,2.36,0.32,0.10,25.26,3.10,4.06,3.09,6.21,3.13,0.32,0.10,5.40,-0.15,1.06,13.41,4.15,3.26,0.31,0.64,1.02,4.35,,42.889.816.25,52.92,7.09,-0.28,4.500.244.250.47,91.88069982319465,449.85457703886675
193,USIM5,8.94,21.45,1.85,0.47,0.27,27.12,22.57,18.09,1.48,1.49,0.06,0.02,0.33,0.73,-0.57,3.51,25.44,14.66,19.98,0.58,0.36,0.81,31.89,,147.531.330.79,18.98,4.83,-0.19,10.799.773.719.20,45.41642324093785,408.0136827845398
85,GOAU4,10.13,23.91,2.00,0.68,0.14,26.33,26.28,6.39,0.49,0.66,0.18,0.25,0.13,0.53,-0.27,2.26,33.85,7.03,29.17,0.21,0.38,1.10,15.78,,75.562.360.17,14.95,5.06,0.02,10.838.358.472.06,41.255999563699824,307.2655435705807
28,BRAP4,22.2,34.34,1.19,1.14,1.13,,,,1.21,1.04,-0.13,-0.12,,10.20,-1.28,17.83,95.29,94.65,94.33,0.99,0.01,0.00,,63.27,63.376.655.08,19.5,18.58,0.01,8.422.830.721.62,90.28828827705173,306.7040012479808
52,CSNA3,15.04,5.80,2.43,0.91,0.27,43.59,35.42,17.22,1.18,2.07,0.90,0.69,0.42,1.59,-0.46,1.65,37.59,10.95,21.67,0.29,0.67,0.64,22.81,,161.762.985.38,16.5,6.2,-0.12,19.944.452.962.88,47.97655677515843,218.9930636646172
81,GGBR4,24.26,13.66,2.55,0.88,0.54,26.33,26.35,18.95,1.84,1.95,0.23,0.12,0.48,2.06,-1.02,2.43,38.59,22.83,32.18,0.59,0.41,1.20,15.78,,304.516.218.75,27.52,9.5,0.03,39.028.730.218.11,76.696805670119,216.1451181785614
138,PETR4,34.24,33.72,2.77,1.09,0.44,50.89,50.42,28.42,1.56,2.25,0.63,0.44,0.79,8.33,-0.57,1.31,39.35,16.08,30.90,0.41,0.59,0.57,9.88,,1.907.126.109.88,31.47,12.38,0.05,465.732.257.626.54,93.62675098496156,173.4426138579485
47,CPLE6,7.07,16.59,3.99,0.87,0.39,20.38,22.66,19.65,3.46,4.90,1.50,0.38,0.78,6.01,-0.50,1.40,21.79,9.75,12.62,0.45,0.55,0.50,12.85,40.08,45.444.390.46,8.1,1.77,0.26,18.980.736.810.00,17.960581839127595,154.0393470880848
137,PETR3,36.91,31.28,2.98,1.17,0.48,50.89,50.42,28.42,1.68,2.25,0.63,0.44,0.85,8.98,-0.62,1.31,39.35,16.08,30.90,0.41,0.59,0.57,9.88,,457.816.480.29,31.47,12.38,0.05,465.732.257.626.54,93.62675098496156,153.66228931173552
16,BBAS3,37.08,8.26,5.21,0.72,0.05,31.08,16.23,13.82,4.43,4.43,,,0.72,2.70,-0.05,7.70,13.75,1.02,,0.07,0.92,0.07,-6.50,23.75,334.610.123.54,51.76,7.12,0.10,106.192.354.761.20,91.0601559410042,145.57755108145685
98,JHSF3,6.09,5.66,4.22,0.90,0.48,67.38,53.79,46.94,3.69,4.94,1.24,0.30,1.98,3.45,-0.62,2.57,21.27,11.41,16.42,0.54,0.45,0.24,39.13,,15.382.824.50,6.77,1.44,0.22,4.150.697.385.51,14.810401750121432,143.19214696422713
97,JBSS3,31.31,9.57,2.95,1.61,0.37,19.50,9.57,6.44,1.99,3.84,1.86,1.51,0.19,3.18,-0.61,1.41,54.61,12.46,21.44,0.23,0.75,1.94,15.53,151.68,184.478.229.63,19.47,10.63,0.03,69.249.593.071.40,68.24029051813892,117.95046476569442
194,VALE3,67.51,17.65,3.11,1.74,0.73,53.70,43.70,41.78,2.98,3.24,0.26,0.15,1.30,15.77,-0.90,1.32,55.74,23.46,34.13,0.42,0.56,0.56,25.41,50.75,2.099.321.698.67,38.91,21.69,0.23,322.622.814.145.13,137.8007719499423,104.11905191814883
43,CMIN3,3.69,14.83,4.25,1.37,0.84,55.44,47.02,27.45,2.48,2.21,-0.28,-0.15,1.17,3.27,-1.41,2.73,32.21,19.74,31.76,0.61,0.39,0.72,,,28.662.118.67,2.69,0.87,-0.20,20.240.900.312.22,7.256497088816339,96.65303763729915
145,POSI3,7.52,4.52,6.15,0.97,0.26,21.95,10.11,4.66,2.83,4.59,1.73,0.59,0.29,0.75,-1.67,1.69,15.74,4.18,15.56,0.27,0.73,0.90,14.02,81.35,10.840.206.29,7.77,1.22,-0.22,1.074.844.000.00,14.604331549235658,94.20653655898484
