TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20,44;;-74,88;2,09;0,95;31,73;5,79;-2,87;37,09;47,52;10,43;0,59;2,15;-30,48;-1,16;0,85;-2,79;-1,27;2,70;0,46;0,53;0,44;3,62;;5.778.232,52;9,80;-0,27;1,47;2.417.905.159,04
ABCB4;17,39;6,61;5,72;0,80;0,08;16,60;11,66;10,08;4,95;4,95;;;0,58;7,74;-0,08;1,25;13,99;1,35;;0,10;0,90;0,13;7,15;11,89;11.273.613,70;21,72;3,04;0,10;3.931.707.152,02
ABEV3;14,86;4,06;17,28;2,71;1,71;49,91;22,47;17,60;13,54;12,82;-0,72;-0,14;3,04;53,92;-2,38;1,13;15,70;9,91;18,74;0,63;0,36;0,56;9,82;1,54;395.230.927,85;5,48;0,86;-2,45;234.048.222.405,86
AERI3;3,20;0,65;51,73;2,46;0,79;11,08;8,41;2,02;12,43;16,14;3,71;0,73;1,04;1,99;-2,17;2,65;4,76;1,53;7,66;0,32;0,68;0,76;;;8.476.187,04;1,30;0,06;-0,86;2.451.883.059,20
AESB3;10,30;1,04;10,73;1,55;0,36;23,57;15,63;18,74;12,86;24,31;11,45;1,38;2,01;2,00;-0,50;2,75;14,43;3,33;-1,42;0,23;0,68;0,18;;;13.003.831,44;6,65;0,96;;5.068.696.898,50
AGRO3;24,25;19,12;3,08;1,01;0,71;39,85;35,81;58,48;5,03;5,16;0,14;0,03;1,80;1,74;-1,46;4,91;32,67;23,09;14,65;0,71;0,29;0,39;55,29;151,67;12.487.597,44;24,12;7,88;0,01;2.482.642.444,00
AGXY3;7,78;2,16;15,00;0,95;0,15;11,21;3,14;1,04;4,97;8,80;3,84;0,73;0,16;3,67;-0,84;1,05;6,32;0,99;7,19;0,16;0,84;0,95;;;639.211,19;8,20;0,52;;1.329.018.414,42
ALLD3;11,87;11,22;4,19;0,72;0,28;13,72;6,66;4,42;2,78;3,50;0,73;0,19;0,19;1,22;-0,92;1,48;17,24;6,66;19,90;0,39;0,61;1,51;;;553.793,59;16,45;2,84;0,14;1.106.528.308,34
ALPA4;18,68;2,33;23,30;2,23;1,67;47,38;10,98;13,90;29,49;27,51;-0,11;-0,01;3,24;9,33;-2,76;1,83;9,55;7,18;6,40;0,75;0,25;0,52;-0,53;8,66;88.830.381,96;8,39;0,80;0,28;11.941.219.912,71
ALPK3;2,71;;-2,87;1,14;0,23;26,64;0,11;-22,18;557,14;1.789,74;1.232,60;2,51;0,64;-1,11;-0,25;0,29;-39,61;-8,01;-0,09;0,20;0,80;0,36;;;969.524,59;2,39;-0,94;0,79;583.240.142,56
ALSO3;18,18;2,11;16,72;0,71;0,41;69,41;55,68;28,66;8,61;5,37;-3,24;-0,27;4,79;2,86;-0,52;3,64;4,23;2,48;6,45;0,58;0,32;0,09;22,33;24,57;27.505.266,11;25,69;1,09;0,10;4.823.775.920,70
ALUP11;28,37;4,34;6,80;1,17;0,31;78,20;77,23;24,89;2,19;4,29;2,10;1,13;1,69;4,20;-0,38;1,78;17,26;4,60;15,12;0,27;0,60;0,18;27,49;31,52;39.334.520,44;24,17;4,17;0,54;8.304.671.121,15
AMAR3;2,69;;-6,19;0,84;0,28;44,23;-0,85;-5,52;-40,42;-97,01;-56,59;1,18;0,34;2,27;-0,55;1,32;-13,62;-4,46;-4,51;0,33;0,67;0,81;-2,41;;9.845.588,67;3,19;-0,43;;915.370.971,90
AMBP3;29,23;1,04;20,74;3,20;0,56;21,59;16,99;6,58;8,03;13,53;5,51;2,19;1,36;2,61;-0,90;2,26;15,40;2,68;7,10;0,17;0,80;0,41;;;27.448.647,44;9,15;1,41;0,15;3.301.107.237,24
