TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;17,03;6,75;6,17;0,80;0,09;37,27;26,57;19,79;4,60;4,58;;;1,22;-2,40;-0,09;0,18;12,94;1,40;;0,11;0,89;0,07;7,15;9,74;11.223.098,83;21,31;2,76;0,09;3.829.966.598,92
ABEV3;14,67;4,11;17,06;2,68;1,69;49,91;22,47;17,60;13,37;12,53;-0,72;-0,14;3,00;53,23;-2,35;1,13;15,70;9,91;18,74;0,63;0,36;0,56;9,82;1,54;410.988.999,46;5,48;0,86;-2,41;229.008.153.013,54
AERI3;3,22;0,65;51,73;2,46;0,79;11,08;8,41;2,02;12,43;16,41;3,71;0,73;1,04;1,99;-2,17;2,65;4,76;1,53;7,66;0,32;0,68;0,76;;;8.510.754,71;1,30;0,06;-0,86;2.505.518.001,12
AESB3;10,95;0,55;11,15;1,65;0,43;22,78;14,53;25,41;19,51;34,92;15,34;1,30;2,83;2,88;-0,55;2,91;14,79;3,81;-2,70;0,26;0,64;0,15;;;11.259.841,29;6,63;0,98;;5.403.329.315,10
AGRO3;24,08;19,23;3,06;1,00;0,71;39,85;35,81;58,48;5,00;5,16;0,14;0,03;1,79;1,73;-1,45;4,91;32,67;23,09;14,65;0,71;0,29;0,39;55,29;151,67;12.499.198,29;24,12;7,88;0,01;2.478.547.363,68
ALPA4;22,31;1,95;25,81;2,82;1,72;48,45;13,31;14,87;28,84;23,53;-3,05;-0,30;3,84;10,26;-3,61;1,47;10,93;6,65;8,79;0,61;0,38;0,45;-0,53;10,32;73.494.102,33;7,91;0,87;0,18;14.062.389.968,95
ALSO3;18,37;2,09;16,89;0,71;0,42;69,41;55,68;28,66;8,69;5,51;-3,24;-0,27;4,84;2,89;-0,52;3,64;4,23;2,48;6,45;0,58;0,32;0,09;22,33;24,57;23.789.662,83;25,69;1,09;0,10;4.911.480.937,44
ALUP11;27,35;4,52;6,52;1,13;0,30;78,20;77,23;24,89;2,10;4,21;2,10;1,13;1,62;4,03;-0,36;1,78;17,26;4,60;15,12;0,27;0,60;0,18;27,49;31,52;39.360.053,83;24,17;4,17;0,52;7.999.912.547,90
AMBP3;30,16;1,00;21,48;3,31;0,58;21,59;16,99;6,58;8,31;13,93;5,51;2,19;1,41;2,70;-0,93;2,26;15,40;2,68;7,10;0,17;0,80;0,41;;;28.246.861,08;9,15;1,41;0,16;3.462.605.128,08
AMER3;15,11;4,10;24,09;0,90;0,31;30,11;4,29;2,15;12,08;19,45;7,24;0,54;0,52;1,56;-0,59;1,76;3,72;1,30;1,98;0,35;0,65;0,61;21,42;;208.812.660,54;16,90;0,63;-0,08;13.887.959.739,00
ARML3;13,24;1,94;58,33;4,03;1,43;47,20;32,46;14,69;26,40;29,23;2,75;0,42;8,57;3,52;-2,92;4,78;6,90;2,44;4,62;0,35;0,65;0,17;;;3.323.358,04;3,28;0,23;0,23;4.584.771.248,46
ARZZ3;86,59;1,96;21,44;3,80;2,36;52,81;16,73;11,78;15,09;14,59;-0,68;-0,17;2,53;11,31;-4,96;1,66;17,75;11,01;18,91;0,62;0,38;0,94;18,73;30,72;79.028.662,13;22,75;4,04;0,01;9.612.658.973,45
ASAI3;16,86;1,02;14,17;6,84;0,68;16,73;5,80;3,39;8,28;11,27;3,02;2,49;0,48;-39,44;-0,99;0,95;48,26;4,78;18,25;0,10;0,90;1,41;;;121.050.992,88;2,46;1,19;-3,38;22.557.605.502,18
AURA33;28,69;9,39;5,50;1,33;0,61;41,30;27,82;15,68;3,10;3,06;-0,04;-0,02;0,86;2,89;-1,14;1,86;24,29;11,16;16,45;0,46;0,54;0,71;;;2.770.699,96;21,48;5,22;-0,17;2.031.016.026,60
AURE3;14,19;0,70;539,88;1,11;0,50;28,70;30,66;1,46;25,66;28,79;3,00;0,13;7,87;5,99;-0,62;1,77;0,21;0,09;2,68;0,45;0,55;0,06;;;38.688.448,42;12,82;0,03;;14.270.000.000,00
B3SA3;11,84;5,97;15,82;3,31;1,42;89,78;59,11;44,83;12,00;11,12;-0,85;-0,23;7,09;9,10;-2,33;1,67;20,92;8,99;11,60;0,43;0,57;0,20;34,69;25,83;428.505.664,25;3,58;0,75;3,87;71.968.200.000,00
BBAS3;37,08;8,26;5,21;0,72;0,05;31,08;16,23;13,82;4,43;4,43;;;0,72;2,70;-0,05;7,70;13,75;1,02;;0,07;0,92;0,07;-6,50;23,75;334.610.123,54;51,76;7,12;0,10;106.192.354.761,20
BBDC3;15,23;3,96;7,03;1,05;0,10;39,92;22,47;17,82;5,58;6,15;;;1,25;1,77;-0,10;5,37;15,00;1,36;;0,09;0,91;0,08;-5,09;5,20;88.238.505,00;14,43;2,16;0,36;178.819.600.543,42
