TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20,34;;-74,51;2,08;0,95;31,73;5,79;-2,87;36,91;47,33;10,43;0,59;2,14;-30,33;-1,16;0,85;-2,79;-1,27;2,70;0,46;0,53;0,44;3,62;;6.200.343,00;9,80;-0,27;1,47;2.406.075.877,44
ABCB4;17,01;6,75;6,17;0,80;0,09;37,27;26,57;19,79;4,60;4,60;;;1,22;-2,40;-0,09;0,18;12,94;1,40;;0,11;0,89;0,07;7,15;9,74;11.325.922,75;21,31;2,76;0,09;3.845.792.907,18
ABEV3;14,69;4,11;17,09;2,68;1,69;49,91;22,47;17,60;13,38;12,66;-0,72;-0,14;3,01;53,30;-2,35;1,13;15,70;9,91;18,74;0,63;0,36;0,56;9,82;1,54;413.437.218,13;5,48;0,86;-2,42;231.370.685.541,19
AERI3;3,23;0,64;52,22;2,49;0,80;11,08;8,41;2,02;12,54;16,25;3,71;0,73;1,05;2,01;-2,19;2,65;4,76;1,53;7,66;0,32;0,68;0,76;;;8.547.670,71;1,30;0,06;-0,86;2.474.869.462,88
AESB3;11,00;0,55;11,21;1,66;0,43;22,78;14,53;25,41;19,61;34,96;15,34;1,30;2,85;2,90;-0,55;2,91;14,79;3,81;-2,70;0,26;0,64;0,15;;;11.322.919,96;6,63;0,98;;5.413.171.445,00
AGRO3;23,90;19,40;3,03;0,99;0,70;39,85;35,81;58,48;4,95;5,09;0,14;0,03;1,77;1,72;-1,44;4,91;32,67;23,09;14,65;0,71;0,29;0,39;55,29;151,67;12.707.626,67;24,12;7,88;0,01;2.446.810.491,20
ALPA4;22,47;1,94;25,98;2,84;1,73;48,45;13,31;14,87;29,02;23,39;-3,05;-0,30;3,86;10,32;-3,63;1,47;10,93;6,65;8,79;0,61;0,38;0,45;-0,53;10,32;73.900.911,25;7,91;0,87;0,18;13.986.970.265,45
ALPK3;3,02;;-3,20;1,27;0,26;26,64;0,11;-22,18;620,87;1.853,47;1.232,60;2,51;0,71;-1,24;-0,28;0,29;-39,61;-8,01;-0,09;0,20;0,80;0,36;;;1.030.506,25;2,39;-0,94;0,88;647.568.099,46
ALSO3;18,39;2,09;16,92;0,72;0,42;69,41;55,68;28,66;8,71;5,46;-3,24;-0,27;4,85;2,89;-0,52;3,64;4,23;2,48;6,45;0,58;0,32;0,09;22,33;24,57;24.008.950,46;25,69;1,09;0,10;4.887.561.387,42
ALUP11;27,38;4,49;6,56;1,13;0,30;78,20;77,23;24,89;2,11;4,22;2,10;1,13;1,63;4,06;-0,36;1,78;17,26;4,60;15,12;0,27;0,60;0,18;27,49;31,52;39.965.889,21;24,17;4,17;0,52;8.023.355.515,07
