TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20,38;;-43,66;2,10;0,94;31,96;4,48;-4,98;48,49;59,93;13,68;0,59;2,17;-25,94;-1,14;0,85;-4,76;-2,18;1,11;0,46;0,53;0,44;3,62;;5.819.295,91;9,68;-0,47;0,15;2.410.807.590,08
ABCB4;19,28;5,96;6,35;0,89;0,09;16,60;11,66;10,08;5,49;5,49;;;0,64;8,58;-0,09;1,25;13,99;1,35;;0,10;0,90;0,13;7,15;11,89;13.496.859,32;21,72;3,04;0,11;4.359.017.475,04
ABEV3;15,90;3,80;18,49;2,90;1,83;49,91;22,47;17,60;14,49;13,77;-0,72;-0,14;3,26;57,69;-2,55;1,13;15,70;9,91;18,74;0,63;0,36;0,56;9,82;1,54;381.055.338,85;5,48;0,86;-2,62;250.428.447.930,90
AERI3;2,69;0,77;41.222,28;2,07;0,66;11,54;8,64;0,00;9,91;13,43;3,52;0,73;0,86;1,67;-1,83;2,65;0,01;0,00;8,38;0,32;0,68;0,78;;;9.962.935,76;1,30;0,00;-412,40;2.061.114.196,64
AESB3;10,07;1,07;10,49;1,51;0,35;23,57;15,63;18,74;12,58;24,02;11,45;1,38;1,97;1,95;-0,49;2,75;14,43;3,33;-1,42;0,23;0,68;0,18;;;15.552.236,59;6,65;0,96;;4.955.512.404,65
AGRO3;26,23;17,68;3,33;1,09;0,77;39,85;35,81;58,48;5,44;5,57;0,14;0,03;1,95;1,88;-1,58;4,91;32,67;23,09;14,65;0,71;0,29;0,39;55,29;151,67;12.744.485,79;24,12;7,88;0,01;2.685.348.919,84
AGXY3;7,99;2,10;-71,42;1,09;0,17;12,08;4,22;-0,20;3,42;6,70;2,57;0,73;0,14;7,31;-0,87;1,05;-1,36;-0,21;13,06;0,16;0,84;1,06;;;699.631,03;7,35;-0,11;0,88;1.364.891.662,11
ALLD3;10,26;12,98;7,03;0,64;0,23;13,66;4,26;2,38;3,92;5,28;1,36;0,22;0,17;0,86;-0,80;1,59;9,04;3,24;9,68;0,36;0,64;1,36;;;609.668,74;16,15;1,46;-0,12;956.443.171,32
ALPA4;19,73;2,21;24,61;2,35;1,77;47,38;10,98;13,90;31,14;29,52;-0,11;-0,01;3,42;9,85;-2,92;1,83;9,55;7,18;6,40;0,75;0,25;0,52;-0,53;8,66;87.440.967,35;8,39;0,80;0,29;12.821.562.010,29
ALPK3;2,50;;-2,99;1,08;0,21;28,77;3,86;-17,70;13,72;46,77;33,05;2,61;0,53;-1,05;-0,23;0,31;-36,20;-6,96;1,97;0,19;0,81;0,39;;;837.557,74;2,31;-0,84;0,18;536.066.307,50
