TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;139,97;0,59;33,10;8,16;4,00;53,98;23,15;19,35;27,67;28,79;1,12;0,33;6,41;22,85;-6,14;2,01;24,66;12,08;16,78;0,49;0,51;0,62;8,50;21,24;;17,15;4,23;;41.810.172.757,00
AA;53,84;0,74;10,06;1,71;0,62;27,89;16,72;7,19;4,33;4,66;0,33;0,13;0,72;3,69;-0,98;1,81;17,00;6,13;16,12;0,36;0,64;0,85;5,45;;;31,49;5,35;;9.687.172.768,00
AAME;3,12;0,64;23,46;0,58;0,17;9,65;2,68;1,39;12,15;9,50;-2,66;-0,13;0,33;;-0,17;;2,49;0,72;3,94;0,29;0,71;0,51;3,74;10,18;;5,35;0,13;;63.659.232,00
AAN;14,45;2,94;7,83;0,62;0,23;58,05;3,66;2,89;6,20;10,12;3,93;0,39;0,23;15,93;-0,44;1,03;7,89;2,94;5,85;0,37;0,63;1,02;;;;23,41;1,85;;444.729.095,00
AAON;62,87;0,60;59,92;6,81;4,30;23,41;10,27;8,37;48,85;50,13;1,29;0,18;5,01;17,48;-7,44;2,40;11,37;7,18;9,35;0,63;0,37;0,86;6,84;1,94;;9,23;1,05;;3.342.081.182,00
AAP;207,49;2,41;23,30;4,32;1,05;44,72;6,42;4,58;16,60;17,99;1,38;0,36;1,07;12,52;-2,12;1,20;18,56;4,50;14,49;0,24;0,76;0,98;0,75;0,82;;47,98;8,90;;12.582.152.102,00
AAPL;174,15;0,52;28,09;48,17;8,32;43,31;30,37;25,71;23,78;24,39;0,61;1,23;7,22;-159,19;-12,49;0,86;171,46;29,63;56,04;0,17;0,83;1,15;11,15;15,69;;3,62;6,20;;2.798.721.460.800,00
AAWW;100,17;;6,09;0,99;0,45;56,93;15,73;10,60;4,10;6,25;2,15;0,52;0,65;-18,19;-0,53;0,86;16,27;7,40;11,02;0,45;0,55;0,70;16,99;64,05;;101,15;16,46;;2.836.914.570,00
ABB;30,30;2,89;12,49;4,26;1,37;32,68;19,92;16,02;10,05;10,04;-0,01;0,00;2,00;22,17;-2,66;1,15;34,08;11,00;23,89;0,32;0,68;0,69;3,03;19,08;;7,12;2,43;;58.060.969.080,00
ABBV;141,29;3,91;19,77;17,05;1,74;70,48;28,42;22,04;15,33;19,19;3,86;4,30;4,36;-46,49;-2,19;0,84;86,24;8,83;16,98;0,10;0,90;0,40;16,99;14,16;;8,29;7,15;;249.814.354.485,00
ABC;149,91;1,23;16,87;138,52;0,54;3,55;1,09;0,78;12,10;13,28;1,18;13,50;0,13;-9,11;-1,78;0,92;821,13;3,22;32,10;0,00;1,00;4,13;7,82;1,52;;1,08;8,89;;31.070.061.771,00
ABCB;50,67;1,18;10,48;1,14;0,15;0,00;44,24;31,45;7,45;1,00;-6,45;-0,99;3,30;;-0,15;;10,91;1,42;10,33;0,13;0,87;0,05;25,38;39,21;;44,31;4,84;;3.514.476.267,00
ABCL;12,45;;17,68;2,92;2,22;100,00;56,94;39,49;12,26;8,64;-3,63;-0,86;6,98;3,84;-7,88;5,17;16,52;12,57;16,95;0,76;0,24;0,32;;;;4,26;0,70;;3.542.475.690,00
ABEO;4,36;;-0,29;0,82;0,46;100,00;-2.608,31;-2.681,56;-0,29;0,13;0,43;-1,18;7,66;0,95;-1,61;3,18;-285,36;-162,63;-277,56;0,57;0,43;0,06;27,54;;;5,35;-15,26;;25.628.080,00
ABEV;3,03;0,79;18,92;3,11;1,96;50,26;23,11;18,03;14,76;14,01;-0,75;-0,16;3,41;191,59;-2,68;1,04;16,42;10,34;19,92;0,63;0,37;0,57;-1,37;-10,14;;0,98;0,16;;47.697.088.602,00
ABG;188,42;;5,74;1,73;0,55;20,25;8,56;5,62;3,77;6,77;3,00;1,38;0,32;9,38;-0,69;1,38;30,14;9,51;14,98;0,32;0,68;1,69;8,55;26,07;;108,91;32,83;;4.170.017.230,00
ABIO;2,36;;-2,02;0,76;0,71;;;;-2,02;0,74;2,76;-1,03;;0,76;-76,25;16,97;-37,38;-34,94;-37,38;0,93;0,07;0,00;;;;3,12;-1,17;;34.007.836,00
ABM;48,47;1,60;22,26;1,94;0,71;100,00;3,25;2,06;14,10;18,97;4,87;0,67;0,46;14,23;-1,05;1,18;8,71;3,17;6,05;0,36;0,64;1,54;3,90;17,17;;25,00;2,18;;3.237.219.207,00
ABMD;278,18;;58,12;8,23;7,42;81,48;25,54;20,60;46,88;43,75;-3,13;-0,55;11,97;13,75;-19,66;7,53;14,16;12,77;14,16;0,90;0,10;0,62;18,30;21,24;;33,79;4,79;;12.646.313.162,00
ABNB;121,27;;62,12;14,79;4,07;81,58;17,88;16,91;58,75;58,40;-0,35;-0,09;10,50;11,86;-62,87;1,58;23,80;6,55;8,65;0,28;0,72;0,39;;;;8,20;1,95;;77.551.995.222,00
ABST;10,64;2,36;51,07;-12,61;4,17;87,94;14,58;10,16;35,57;32,49;-3,08;;5,19;-32,21;-12,35;0,84;-24,69;8,17;-24,75;-0,33;1,33;0,80;6,35;-17,44;;-0,84;0,21;;543.047.512,00
ABT;109,96;1,69;22,51;5,28;2,60;58,05;23,22;18,78;18,21;18,92;0,71;0,20;4,23;15,33;-3,91;2,01;23,44;11,53;17,05;0,49;0,51;0,61;15,61;38,25;;20,84;4,88;;192.564.118.212,00
ACA;64,41;0,31;33,82;1,56;0,93;18,47;6,47;4,15;21,69;26,12;4,43;0,32;1,40;6,85;-1,26;2,09;4,61;2,76;4,49;0,60;0,40;0,67;3,63;-10,76;;41,28;1,90;;3.114.693.693,00
ACCO;6,93;4,18;6,09;0,77;0,22;29,37;8,75;5,36;3,73;9,76;6,03;1,25;0,33;1,48;-0,33;1,77;12,65;3,57;7,43;0,28;0,72;0,67;5,40;1,31;;9,00;1,14;;672.115.059,00
ACEL;10,52;;17,33;5,57;1,19;32,45;10,91;6,89;10,95;13,96;3,01;1,53;1,19;4,79;-1,83;3,35;32,13;6,84;9,96;0,21;0,79;0,99;;;;1,89;0,61;;968.376.520,00
ACEV;10,18;;8,71;-4,92;1,72;;;;8,71;8,75;0,05;;;-17,12;-1,72;0,01;-56,49;19,73;-57,98;-0,35;0,35;0,00;;;;-2,07;1,17;;142.034.414,00
ACEVU;10,22;;8,74;-4,94;1,72;;;;8,74;8,75;0,05;;;-17,18;-1,73;0,01;-56,49;19,73;-57,98;-0,35;0,35;0,00;;;;-2,07;1,17;;142.034.414,00
ACEVW;0,13;;0,11;-0,06;0,02;;;;0,11;8,75;0,05;;;-0,22;-0,02;0,01;-56,49;19,73;-57,98;-0,35;0,35;0,00;;;;-2,07;1,17;;142.034.414,00
ACGL;47,83;;11,16;1,42;0,39;32,56;19,32;18,45;10,66;11,61;0,95;0,13;2,06;;-0,39;;12,74;3,46;9,30;0,27;0,73;0,19;15,69;26,54;;33,64;4,28;;17.655.832.276,00
ACGLO;23,26;5,86;5,43;0,69;0,19;32,56;19,32;18,45;5,19;11,61;0,95;0,13;1,00;;-0,19;;12,74;3,46;9,30;0,27;0,73;0,19;15,69;26,54;;33,64;4,28;;17.655.832.276,00
ACGLP;24,99;1,31;5,83;0,74;0,20;32,56;19,32;18,45;5,57;11,61;0,95;0,13;1,08;;-0,20;;12,74;3,46;9,30;0,27;0,73;0,19;15,69;26,54;;33,64;4,28;;17.655.832.276,00
ACH;8,71;1,36;10,27;0,50;0,19;11,12;7,84;2,57;3,37;8,31;4,95;0,74;0,26;9,52;-0,27;1,08;4,88;1,86;7,76;0,38;0,62;0,73;27,84;;;17,39;0,85;;5.930.699.099,00
ACHC;82,64;;27,07;2,82;1,54;96,10;17,72;11,32;17,30;20,24;2,94;0,48;3,06;98,29;-1,72;1,17;10,41;5,68;8,53;0,55;0,44;0,50;-3,81;98,78;;29,32;3,05;;7.507.100.240,00
ACI;28,71;1,67;9,20;3,75;0,54;28,51;3,49;2,24;5,91;7,75;1,83;1,16;0,21;19,94;-0,78;1,10;40,76;5,88;17,41;0,14;0,83;2,62;3,79;;;7,65;3,12;;15.270.840.387,00
ACIA;114,99;;71,00;7,39;5,88;48,37;11,97;12,55;74,48;67,54;-6,95;-0,69;8,91;9,83;-25,15;4,56;10,41;8,28;9,43;0,80;0,20;0,66;26,01;80,21;;15,56;1,62;;4.884.783.364,29
ACIW;25,79;;19,34;2,43;0,91;53,95;17,82;10,51;11,41;15,16;3,75;0,80;2,03;14,65;-1,35;1,24;12,58;4,72;8,59;0,38;0,62;0,45;6,39;-0,27;;10,60;1,33;;2.941.279.867,00
ACLS;75,19;;16,66;4,23;3,06;43,97;22,16;18,47;13,89;12,54;-1,34;-0,41;3,08;4,72;-18,82;4,44;25,40;18,36;24,35;0,72;0,28;0,99;19,93;55,07;;17,77;4,51;;2.483.811.422,00
ACM;77,46;0,58;36,28;4,46;0,97;6,48;4,97;2,30;16,83;18,67;1,84;0,49;0,84;33,02;-2,00;1,06;12,29;2,68;10,73;0,22;0,78;1,16;-5,19;12,50;;17,38;2,14;;10.924.842.210,00
ACMR;17,62;;32,46;1,59;0,97;45,01;15,09;10,42;22,42;15,59;-6,83;-0,49;3,38;1,61;-6,11;3,56;4,91;3,00;5,84;0,61;0,39;0,29;56,84;105,47;;11,05;0,54;;1.044.302.160,00
ACN;319,46;1,21;30,49;9,45;4,38;32,26;14,96;11,12;22,66;21,92;-0,75;-0,31;3,39;45,46;-8,05;1,27;30,99;14,38;31,62;0,46;0,52;1,29;7,75;7,51;;33,81;10,48;;202.073.688.242,00
ACST;0,92;;-4,17;0,38;0,32;;;;-3,91;0,26;4,17;-0,40;;0,97;-0,49;13,97;-9,07;-7,63;-9,67;0,84;0,16;0,00;;;;2,43;-0,22;;40.934.664,00
ADBE;439,03;;42,57;14,92;7,91;88,04;36,72;29,90;34,66;34,48;-0,18;-0,08;12,73;736,44;-11,11;1,04;35,04;18,58;28,39;0,53;0,47;0,62;21,94;32,77;;29,43;10,31;;205.466.040.000,00
ADES;6,28;;2,75;0,83;0,66;29,35;52,61;41,32;2,16;0,79;-1,37;-0,53;1,14;1,31;-1,69;5,88;30,23;24,03;29,93;0,80;0,20;0,58;14,65;-9,17;;7,56;2,28;;119.924.136,00
ADI;170,13;1,70;53,85;2,38;1,74;58,33;18,65;16,84;48,60;51,08;2,48;0,12;9,07;38,32;-1,92;1,99;4,43;3,23;4,14;0,73;0,27;0,19;16,42;10,04;;71,37;3,16;;88.434.594.780,00
ADM;87,62;1,79;13,65;2,01;0,79;7,39;5,04;3,81;10,33;10,46;0,13;0,03;0,52;4,10;-2,03;1,47;14,75;5,82;10,96;0,39;0,60;1,53;6,46;16,20;;43,52;6,42;;49.116.407.392,00
ADNT;37,56;;4,48;1,68;0,38;4,24;9,75;6,00;2,76;4,18;1,42;0,86;0,27;5,28;-0,68;1,20;37,45;8,53;22,00;0,23;0,73;1,42;-4,01;;;22,39;8,38;;3.561.202.572,00
ADP;260,94;1,55;36,77;33,62;1,72;42,65;23,55;17,87;27,90;28,30;0,40;0,48;6,57;-306,46;-13,12;0,99;91,43;4,68;48,79;0,05;0,95;0,26;5,93;10,53;;7,76;7,10;;108.425.005.980,00
ADSK;228,86;;102,02;73,02;6,02;90,31;15,28;10,67;71,26;72,76;1,50;1,53;10,89;-34,46;-8,42;0,62;71,57;5,90;16,82;0,08;0,92;0,55;16,65;;;3,13;2,24;;49.724.915.692,00
ADT;7,96;1,76;-303,39;2,15;0,42;69,11;4,98;-0,41;24,93;58,59;33,67;2,90;1,24;-6,14;-0,45;0,50;-0,71;-0,14;2,07;0,20;0,80;0,34;12,46;;;3,71;-0,03;;7.255.354.532,00
ADUS;95,49;;34,62;2,56;1,59;31,57;7,46;4,90;22,75;23,86;1,12;0,13;1,70;11,96;-2,17;2,00;7,40;4,60;6,47;0,62;0,38;0,94;16,61;29,99;;37,30;2,76;;1.535.507.847,00
ADV;4,26;;19,15;0,54;0,23;15,99;5,68;1,84;6,19;15,10;8,91;0,78;0,35;2,91;-0,29;1,74;2,82;1,21;3,99;0,43;0,57;0,66;;;;7,89;0,22;;1.356.421.914,00
ADVM;1,35;;-0,86;0,47;0,33;;;;-0,86;0,89;1,75;-0,96;;0,52;-1,05;12,05;-54,78;-38,05;-54,78;0,69;0,31;0,00;38,82;;;2,86;-1,57;;133.339.905,00
ADVWW;0,40;;1,80;0,05;0,02;15,99;5,68;1,84;0,58;15,10;8,91;0,78;0,03;0,27;-0,03;1,74;2,82;1,21;3,99;0,43;0,57;0,66;;;;7,89;0,22;;1.356.421.914,00
ADXN;1,33;;-0,42;0,60;0,44;100,00;-784,29;-802,58;-0,43;0,39;0,82;-1,15;3,34;0,59;-14,94;4,32;-143,88;-105,42;-140,60;0,73;0,27;0,13;;;;2,22;-3,20;;8.398.285,00
ADXS;3,64;;-0,57;0,19;0,18;100,00;-2.296,60;-2.316,60;-0,58;2,22;2,79;-0,91;13,25;0,21;-1,98;14,44;-32,95;-30,87;-32,95;0,94;0,06;0,01;-4,10;;;19,31;-6,36;;6.626.620,00
AEE;96,70;2,36;24,76;2,53;0,67;44,52;22,99;14,50;15,62;24,74;9,13;1,48;3,59;-20,96;-0,72;0,67;10,21;2,72;5,84;0,27;0,73;0,19;1,03;8,68;;38,24;3,91;;24.984.437.020,00
AEHR;17,39;;110,87;10,64;8,16;43,82;11,27;11,06;108,78;101,34;-7,44;-0,73;12,26;11,03;-224,98;4,31;9,60;7,36;9,60;0,77;0,23;0,67;2,74;;;1,63;0,16;;468.187.492,00
AEIS;98,01;0,41;25,71;3,96;1,95;35,81;10,59;9,00;21,87;21,93;0,06;0,01;2,32;5,24;-4,63;2,80;15,41;7,58;10,90;0,49;0,51;0,84;24,66;1,12;;24,74;3,81;;3.661.555.590,00
AEL;40,28;0,84;3,13;0,91;0,05;-6,96;79,60;58,78;2,31;3,76;1,45;0,57;1,84;;-0,05;;29,08;1,58;16,28;0,05;0,95;0,03;10,69;41,61;;44,30;12,88;;3.530.066.696,00
AEM;44,16;3,40;39,66;1,24;0,86;52,36;24,15;12,08;19,85;20,23;0,38;0,02;4,79;12,70;-0,97;2,61;3,12;2,18;3,88;0,70;0,30;0,18;12,33;27,87;;35,68;1,11;;20.127.068.160,00
AENZ;1,10;;-9,78;0,56;0,18;10,95;6,19;-2,71;4,27;5,53;1,25;0,17;0,26;2,64;-0,32;1,18;-5,77;-1,82;5,97;0,32;0,68;0,67;-4,33;;;1,95;-0,11;;263.335.600,00
AEO;13,56;5,31;6,45;1,66;0,62;38,63;9,34;7,07;4,89;5,26;0,38;0,13;0,46;4,23;-0,95;1,74;25,73;9,62;19,68;0,37;0,63;1,36;6,78;14,58;;8,16;2,10;;2.297.091.120,00
AEP;104,37;2,99;20,83;2,23;0,59;60,70;22,58;14,37;13,25;22,39;9,13;1,54;2,99;-17,43;-0,66;0,75;10,70;2,83;6,37;0,26;0,73;0,20;0,50;32,12;;46,83;5,01;;53.618.417.580,00
AEPPL;52,61;4,37;10,50;1,12;0,30;60,70;22,58;14,37;6,68;22,39;9,13;1,54;1,51;-8,78;-0,33;0,75;10,70;2,83;6,37;0,26;0,73;0,20;0,50;32,12;;46,83;5,01;;53.618.417.580,00
AEPPZ;56,62;5,41;11,30;1,21;0,32;60,70;22,58;14,37;7,19;22,39;9,13;1,54;1,62;-9,45;-0,36;0,75;10,70;2,83;6,37;0,26;0,73;0,20;0,50;32,12;;46,83;5,01;;53.618.417.580,00
AES;26,02;2,40;-49,23;5,80;0,48;20,55;2,11;-3,01;70,08;147,88;77,80;6,44;1,48;18,61;-0,60;1,16;-11,79;-0,98;0,85;0,08;0,83;0,33;1,62;;;4,48;-0,53;;17.379.632.272,00
AESE;1,53;;0,96;0,63;0,58;19,45;-199,80;909,32;-4,36;2,25;6,61;-0,95;8,71;0,69;-5,46;15,48;65,53;60,41;-14,40;0,92;0,08;0,07;;;;2,44;1,60;;59.848.857,00
AEZS;5,57;;-2,83;0,51;0,35;97,26;-198,77;-186,93;-2,66;3,60;6,26;-1,20;5,29;0,44;-2,93;11,84;-17,96;-12,51;-19,14;0,70;0,30;0,07;42,00;;;10,95;-1,97;;27.047.363,00
AFG;137,57;16,17;11,36;2,88;0,42;26,71;20,67;15,53;8,54;9,67;1,13;0,38;1,76;;-0,42;;25,35;3,67;17,08;0,14;0,86;0,24;0,17;25,18;;47,76;12,11;;11.715.777.611,00
AFGB;25,75;5,70;2,13;0,54;0,08;26,71;20,67;15,53;1,60;9,67;1,13;0,38;0,33;;-0,08;;25,35;3,67;17,08;0,14;0,86;0,24;0,17;25,18;;47,76;12,11;;11.715.777.611,00
AFGC;25,23;5,08;2,08;0,53;0,08;26,71;20,67;15,53;1,57;9,67;1,13;0,38;0,32;;-0,08;;25,35;3,67;17,08;0,14;0,86;0,24;0,17;25,18;;47,76;12,11;;11.715.777.611,00
AFGD;24,32;5,75;2,01;0,51;0,07;26,71;20,67;15,53;1,51;9,67;1,13;0,38;0,31;;-0,07;;25,35;3,67;17,08;0,14;0,86;0,24;0,17;25,18;;47,76;12,11;;11.715.777.611,00
AFGE;21,68;5,19;1,79;0,45;0,07;26,71;20,67;15,53;1,35;9,67;1,13;0,38;0,28;;-0,07;;25,35;3,67;17,08;0,14;0,86;0,24;0,17;25,18;;47,76;12,11;;11.715.777.611,00
AFL;64,55;1,75;9,38;1,55;0,30;47,68;25,99;20,37;7,35;8,34;0,99;0,21;1,91;;-0,30;;16,47;3,21;12,34;0,19;0,81;0,16;-0,40;10,22;;41,76;6,88;;40.790.210.075,00
AFYA;12,84;;25,14;2,00;0,93;62,39;26,70;13,08;12,31;13,24;0,92;0,15;3,29;15,09;-1,14;1,49;7,96;3,70;10,72;0,46;0,54;0,28;;;;6,41;0,51;;1.166.687.340,00
AG;7,75;0,40;4.016,63;1,42;0,95;34,38;4,87;0,08;65,23;64,47;-0,76;-0,02;3,18;10,47;-1,14;2,24;0,04;0,02;1,18;0,67;0,33;0,30;16,00;;;5,47;0,00;;2.036.431.075,00
AGCO;112,19;4,80;10,56;2,47;0,85;22,86;7,99;6,89;9,10;11,01;1,91;0,52;0,73;4,04;-2,00;1,57;23,44;8,02;12,77;0,34;0,66;1,16;8,49;41,15;;45,35;10,63;;8.369.160.839,00
AGEN;2,82;;41,92;223,71;1,68;98,67;20,53;5,70;11,63;8,21;-3,42;-65,76;2,39;5,91;-4,57;1,81;533,67;4,00;383,97;0,01;0,99;0,70;67,28;;;0,01;0,07;;764.194.620,00
AGFS;1,88;;-5,85;0,44;0,14;69,70;2,39;-10,15;24,85;74,49;49,64;0,88;0,59;0,89;-0,17;3,21;-7,57;-2,32;0,71;0,31;0,47;0,23;0,78;;;4,25;-0,32;;99.057.576,00
AGLE;0,50;;-0,42;0,50;0,37;100,00;-357,58;-358,29;-0,43;0,50;0,93;-1,08;1,52;0,54;-2,89;4,45;-116,81;-86,59;-116,81;0,74;0,26;0,24;32,27;;;1,01;-1,18;;30.586.250,00
AGMH;1,87;;-384,38;13,74;1,67;13,69;1,96;-2,20;431,97;418,60;-13,37;-0,43;8,45;14,04;-521,34;1,14;-3,58;-0,43;-1,58;0,12;0,88;0,20;39,77;8,61;;0,14;0,00;;45.356.476,00
AGO;55,05;1,76;11,40;0,64;0,20;121,73;56,76;34,57;6,94;8,32;1,37;0,13;3,94;;-0,20;;5,64;1,76;6,23;0,31;0,69;0,05;-12,75;-15,08;;85,63;4,83;;3.409.951.140,00
AGR;51,30;3,43;21,94;1,02;0,50;100,00;15,92;12,12;16,71;23,43;6,72;0,41;2,66;-55,56;-0,54;0,89;4,66;2,27;4,02;0,49;0,51;0,19;2,99;2,27;;50,20;2,34;;19.833.821.460,00
AGRO;9,17;1,71;5,81;0,87;0,34;41,73;22,45;15,20;3,93;6,31;2,38;0,53;0,88;2,43;-0,48;1,95;14,98;5,87;10,09;0,39;0,61;0,39;5,28;55,72;;10,54;1,58;;1.020.892.432,00
AGS;7,73;;-10,49;8,54;0,42;74,34;4,82;-9,88;21,49;60,82;39,33;15,63;1,04;3,67;-0,53;2,37;-81,42;-4,03;1,91;0,05;0,95;0,41;9,26;;;0,91;-0,74;;287.330.284,00
AGTC;0,42;;-0,34;0,45;0,24;100,00;-12.441,20;-12.538,60;-0,34;0,42;0,76;-1,01;42,61;0,48;-1,28;2,73;-133,31;-71,90;-95,44;0,54;0,46;0,01;-59,76;;;0,93;-1,24;;21.307.398,00
AGX;37,92;2,64;15,40;1,78;1,09;19,81;8,75;7,23;12,74;4,05;-8,69;-1,21;1,11;2,06;-11,91;2,40;11,55;7,09;10,71;0,61;0,39;0,98;-5,48;-11,47;;21,32;2,46;;538.566.384,00
AGYS;53,53;;234,72;13,23;6,42;61,35;4,55;3,33;171,90;159,73;-12,17;-0,94;7,82;19,32;-17,49;2,10;5,64;2,73;7,46;0,49;0,35;0,82;4,96;;;4,05;0,23;;1.339.995.078,00
AHCO;21,37;;20,98;1,35;0,55;16,83;9,18;4,89;11,16;19,26;8,09;0,98;1,03;16,90;-0,62;1,39;6,41;2,63;5,09;0,41;0,59;0,54;;;;15,89;1,02;;2.869.758.067,00
AIG;57,33;2,23;3,44;0,96;0,08;49,92;32,42;22,18;2,35;2,91;0,56;0,23;0,76;;-0,08;;27,96;2,35;22,28;0,08;0,92;0,11;-0,12;;;59,63;16,68;;43.594.655.013,00
AIKI;6,47;;-5,04;0,36;0,29;;;;-5,04;7,61;12,65;-0,90;;0,35;-1,81;110,82;-7,10;-5,72;-7,10;0,81;0,01;0,00;;;;18,10;-1,28;;33.984.322,00
AIMC;43,08;0,77;149,10;1,44;0,76;34,96;5,22;0,96;27,54;36,31;8,77;0,46;1,44;5,85;-0,98;2,32;0,97;0,51;3,32;0,53;0,47;0,53;21,79;1,96;;29,88;0,29;;2.803.064.820,00
AIN;95,55;0,87;23,50;3,63;1,84;38,89;19,78;12,93;15,36;16,21;0,85;0,20;3,04;4,59;-3,82;4,44;15,46;7,84;11,08;0,51;0,49;0,61;3,57;17,57;;26,29;4,07;;2.971.605.000,00
AINV;13,65;10,55;15,99;0,91;0,34;100,00;72,88;35,53;7,80;21,43;13,64;1,59;5,68;;-0,34;;5,67;2,12;4,44;0,37;0,63;0,06;-10,79;35,00;;15,06;0,85;;893.411.610,00
AIR;47,34;;21,30;1,62;1,06;17,21;5,91;4,32;15,59;15,96;0,37;0,04;0,92;2,54;-2,96;2,89;7,61;5,00;7,14;0,66;0,34;1,16;2,73;6,85;;29,22;2,22;;1.676.096.370,00
AIRT;17,00;;4,46;1,98;0,23;23,29;10,36;6,17;2,66;9,46;6,81;5,07;0,28;0,50;-0,61;4,15;44,40;5,26;10,71;0,12;0,83;0,85;3,59;;;8,59;3,81;;48.728.800,00
AIRTP;22,52;8,88;5,91;2,62;0,31;23,29;10,36;6,17;3,52;9,46;6,81;5,07;0,36;0,66;-0,81;4,15;44,40;5,26;10,71;0,12;0,83;0,85;3,59;;;8,59;3,81;;48.728.800,00
AIRTW;0,01;;0,00;0,00;0,00;23,29;10,36;6,17;0,00;9,46;6,81;5,07;0,00;0,00;0,00;4,15;44,40;5,26;10,71;0,12;0,83;0,85;3,59;;;8,59;3,81;;48.728.800,00
AIT;115,11;1,17;17,19;3,85;1,80;29,05;9,36;6,76;12,41;13,83;1,42;0,44;1,16;5,15;-4,05;2,72;22,40;10,50;15,46;0,47;0,53;1,55;-47,74;-58,99;;29,90;6,70;;4.425.300.351,00
AIZ;171,78;1,57;7,57;2,05;0,29;25,74;6,93;11,83;12,93;15,15;2,23;0,35;0,90;;-0,29;;27,07;3,80;7,98;0,14;0,86;0,32;6,23;19,41;;83,81;22,69;;9.140.293.554,00
AIZN;23,45;5,60;1,03;0,28;0,04;25,74;6,93;11,83;1,76;15,15;2,23;0,35;0,12;;-0,04;;27,07;3,80;7,98;0,14;0,86;0,32;6,23;19,41;;83,81;22,69;;9.140.293.554,00
AIZP;127,52;;5,62;1,52;0,21;25,74;6,93;11,83;9,60;15,15;2,23;0,35;0,66;;-0,21;;27,07;3,80;7,98;0,14;0,86;0,32;6,23;19,41;;83,81;22,69;;9.140.293.554,00
AJG;191,52;1,03;38,10;4,57;1,01;100,00;17,29;12,31;27,13;41,86;14,73;2,48;4,69;;-1,01;;12,00;2,64;3,76;0,22;0,78;0,21;7,64;17,97;;41,88;5,03;;40.283.550.720,00
AJRD;44,17;;28,47;6,19;1,44;15,80;8,76;5,74;18,66;18,05;-0,61;-0,20;1,63;12,58;-2,91;1,29;21,74;5,06;13,87;0,23;0,77;0,88;4,43;51,51;;7,14;1,55;;3.552.924.375,00
AKAM;96,80;;26,84;3,63;1,89;63,01;20,94;16,18;20,74;22,97;2,23;0,39;4,34;20,72;-2,34;1,92;13,51;7,04;9,50;0,52;0,48;0,44;8,07;15,23;;26,70;3,61;;15.517.543.360,00
AKBA;0,40;;-0,27;2,82;0,14;32,67;-123,52;-123,64;-0,27;0,01;0,27;-2,89;0,33;1,51;-0,32;1,19;-1.055,60;-51,49;-220,21;0,05;0,95;0,42;168,34;;;0,14;-1,50;;73.539.480,00
AKO-A;9,82;17,89;8,52;1,16;0,44;38,01;12,54;6,23;4,23;2,97;-1,69;-0,46;0,53;2,50;-0,68;2,00;13,66;5,16;21,38;0,38;0,62;0,83;;-72,52;;8,43;1,15;;1.703.827.440,00
AKO-B;10,80;17,90;9,38;1,28;0,48;38,01;12,54;6,23;4,66;2,97;-1,69;-0,46;0,58;2,75;-0,75;2,00;13,66;5,16;21,38;0,38;0,62;0,83;;-72,52;;8,43;1,15;;1.703.827.440,00
AKU;1,13;;-3,28;1,34;0,05;15,45;1,51;-16,54;35,97;464,54;428,57;15,97;0,54;5,59;-0,06;1,11;-40,82;-1,63;0,17;0,04;0,94;0,10;;;;0,84;-0,34;;101.153.645,00
AKUS;3,69;;-1,31;0,61;0,50;;;;-1,31;0,83;2,14;-1,00;;0,66;-2,87;11,39;-46,69;-38,12;-46,69;0,82;0,18;0,00;;;;6,04;-2,82;;127.770.678,00
AL;40,10;1,78;-36,81;0,69;0,16;100,00;14,64;-5,31;13,34;65,27;51,92;2,69;1,95;-2,42;-0,17;0,36;-1,88;-0,44;1,18;0,23;0,77;0,08;8,03;3,09;;58,07;-1,09;;4.446.773.210,00
