,TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
92,GOAU4,10.10,23.96,2.00,0.68,0.14,26.33,26.28,6.39,0.48,0.65,0.18,0.25,0.13,0.53,-0.27,2.26,33.85,7.03,29.17,0.21,0.38,1.10,15.78,,76.169.331.67,14.95,5.06,0.02,10.769.391.863.82
211,USIM5,8.90,21.55,1.84,0.47,0.27,27.12,22.57,18.09,1.48,1.5,0.06,0.02,0.33,0.72,-0.56,3.51,25.44,14.66,19.98,0.58,0.36,0.81,31.89,,148.634.981.92,18.98,4.83,-0.19,10.863.247.180.76
87,GGBR4,24.23,13.66,2.55,0.88,0.54,26.33,26.35,18.95,1.84,1.93,0.21,0.10,0.48,2.06,-1.02,2.22,34.51,21.03,29.68,0.61,0.39,1.11,15.78,,306.321.560.29,27.52,9.50,0.03,39.068.798.481.45
55,CSNA3,15.05,5.80,2.43,0.91,0.27,43.59,35.42,17.22,1.18,2.08,0.90,0.69,0.42,1.59,-0.46,1.65,37.59,10.95,21.67,0.29,0.67,0.64,22.81,,164.165.257.63,16.50,6.20,-0.12,19.957.713.902.35
45,CMIN3,3.67,14.87,4.24,1.37,0.84,55.44,47.02,27.45,2.48,2.2,-0.28,-0.15,1.16,3.26,-1.41,2.73,32.21,19.74,31.76,0.61,0.39,0.72,,,28.837.730.42,2.69,0.87,-0.20,20.131.193.535.46
32,BRKM5,34.05,27.12,1.77,4.38,0.29,27.31,21.04,14.02,1.18,2.21,0.99,3.69,0.25,1.93,-0.51,1.56,247.82,16.61,45.75,0.07,0.93,1.18,17.25,,63.632.502.96,7.78,19.29,0.00,28.161.181.214.70
152,PETR3,37.07,31.15,2.99,1.18,0.48,50.89,50.42,28.42,1.69,2.26,0.63,0.44,0.85,9.02,-0.62,1.31,39.35,16.08,30.90,0.41,0.59,0.57,9.88,,461.111.002.00,31.47,12.38,0.05,468.209.903.955.98
153,PETR4,34.33,33.63,2.77,1.09,0.45,50.89,50.42,28.42,1.56,2.26,0.63,0.44,0.79,8.35,-0.57,1.31,39.35,16.08,30.90,0.41,0.59,0.57,9.88,,1.919.992.248.29,31.47,12.38,0.05,468.209.903.955.98
137,MRFG3,13.37,24.17,2.22,2.75,0.19,20.37,15.12,4.61,0.68,2.26,1.59,6.46,0.10,1.93,-0.34,1.29,124.16,8.59,28.07,0.07,0.89,1.86,35.31,,98.897.302.75,4.86,6.03,0.18,9.243.615.736.81
212,VALE3,67.39,17.68,3.11,1.73,0.73,53.70,43.70,41.78,2.97,3.23,0.26,0.15,1.30,15.74,-0.90,1.32,55.74,23.46,34.13,0.42,0.56,0.56,25.41,50.75,2.115.902.617.46,38.91,21.69,0.23,322.049.347.433.57
107,JBSS3,31.46,9.54,2.96,1.62,0.37,19.50,9.57,6.44,1.99,3.85,1.86,1.51,0.19,3.19,-0.61,1.41,54.61,12.46,21.44,0.23,0.75,1.94,15.53,151.68,185.955.827.63,19.47,10.63,0.03,69.781.941.000.20
187,SLCE3,42.22,5.75,6.12,1.91,0.60,36.69,31.78,17.74,3.42,4.14,0.72,0.40,1.09,2.94,-1.15,1.73,31.18,9.76,25.20,0.31,0.67,0.55,30.68,117.70,67.120.240.00,22.11,6.89,0.05,8.968.482.129.78
